Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,3-4h,0-1km;121921;PC diesel Euro-2 (DPF);diesel;<1,4L;PC diesel Euro-2 (DPF);336490.3125;0.006963221;0.140978903;0.478179097;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,3-4h,0-1km;121931;PC diesel Euro-3 (DPF);diesel;<1,4L;PC diesel Euro-3 (DPF);284639.1563;0.041854195;0.122388989;0.478179097;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,3-4h,0-1km;121940;PC diesel Euro-4;diesel;<1,4L;PC diesel Euro-4;222993.3906;1.82862e-09;0.092921652;0.478179097;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,3-4h,0-1km;121950;PC diesel Euro-5;diesel;<1,4L;PC diesel Euro-5;159892.3125;0.193180934;0.043711305;0.478179097;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,3-4h,0-1km;121965;PC diesel Euro-6c;diesel;<1,4L;PC diesel Euro-6c;57040.42969;0.048191596;0.034016993;0.478179097;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,3-4h,0-1km;121955;PC diesel Euro-6ab;diesel;<1,4L;PC diesel Euro-6ab;94579.64063;0.114155054;0.049085993;0.478179097;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;111910;PC petrol Euro-1;petrol (4S);>=2L;PC petrol Euro-1;210318.5938;0.001219307;5.298362732;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;111920;PC petrol Euro-2;petrol (4S);>=2L;PC petrol Euro-2;196643.7813;0.008536982;4.327651024;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;111930;PC petrol Euro-3;petrol (4S);>=2L;PC petrol Euro-3;175838.9844;0.019227868;2.612013102;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;111940;PC petrol Euro-4;petrol (4S);>=2L;PC petrol Euro-4;145779.25;0.031943236;2.374974728;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;111950;PC petrol Euro-5;petrol (4S);>=2L;PC petrol Euro-5;106131.7969;0.058916871;1.512967229;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;111961;PC petrol Euro-6ab;petrol (4S);>=2L;PC petrol Euro-6ab;66197.00781;0.082369171;1.121677995;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;111965;PC petrol Euro-6c;petrol (4S);>=2L;PC petrol Euro-6c;43431.35938;0.043270264;1.121677995;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;111968;PC petrol Euro-6d;petrol (4S);>=2L;PC petrol Euro-6d;19861.0625;0.064392313;1.121677995;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;121910;PC diesel Euro-1;diesel;<1,4L;PC diesel Euro-1;377537.25;0.001675499;0.165546283;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;121921;PC diesel Euro-2 (DPF);diesel;<1,4L;PC diesel Euro-2 (DPF);336490.3125;0.006963221;0.151809543;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;121931;PC diesel Euro-3 (DPF);diesel;<1,4L;PC diesel Euro-3 (DPF);284639.1563;0.041854195;0.131832317;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;121940;PC diesel Euro-4;diesel;<1,4L;PC diesel Euro-4;222993.3906;1.82862e-09;0.100149982;0.52075088;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;Urban;TØ,4-5h,0-1km;121950;PC diesel Euro-5;diesel;<1,4L;PC diesel Euro-5;159892.3125;0.193180934;0.047112141;0.52075088;NA;NA;NA;NA;NA;NA
