Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;111920;PC petrol Euro-2;petrol (4S);>=2L;PC petrol Euro-2;196643.7813;0.008536982;17.8925209;NA;NA;0.144550905;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;111930;PC petrol Euro-3;petrol (4S);>=2L;PC petrol Euro-3;175838.9844;0.019227868;17.88840866;NA;NA;0.024459546;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;111940;PC petrol Euro-4;petrol (4S);>=2L;PC petrol Euro-4;145779.25;0.031943236;17.90296745;NA;NA;0.007452383;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;111950;PC petrol Euro-5;petrol (4S);>=2L;PC petrol Euro-5;106131.7969;0.058916871;17.93225098;NA;NA;0.010717549;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;111961;PC petrol Euro-6ab;petrol (4S);>=2L;PC petrol Euro-6ab;66197.00781;0.082369171;17.93225098;NA;NA;0.007745181;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;111965;PC petrol Euro-6c;petrol (4S);>=2L;PC petrol Euro-6c;43431.35938;0.043270264;17.93225098;NA;NA;0.002265638;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;111968;PC petrol Euro-6d;petrol (4S);>=2L;PC petrol Euro-6d;19861.0625;0.064392313;17.93225098;NA;NA;0.005078156;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;121910;PC diesel Euro-1;diesel;<1,4L;PC diesel Euro-1;377537.25;0.001675499;17.90781212;NA;NA;0.115783803;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;121921;PC diesel Euro-2 (DPF);diesel;<1,4L;PC diesel Euro-2 (DPF);336490.3125;0.006963221;17.92185783;NA;NA;0.07190948;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;121931;PC diesel Euro-3 (DPF);diesel;<1,4L;PC diesel Euro-3 (DPF);284639.1563;0.041854195;17.93225098;NA;NA;0.045002129;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;121940;PC diesel Euro-4;diesel;<1,4L;PC diesel Euro-4;222993.3906;1.82862e-09;17.93225098;NA;NA;0.01815613;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;121950;PC diesel Euro-5;diesel;<1,4L;PC diesel Euro-5;159892.3125;0.193180934;17.88812447;NA;NA;0.014615624;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;121965;PC diesel Euro-6c;diesel;<1,4L;PC diesel Euro-6c;57040.42969;0.048191596;17.93214035;NA;NA;0.020038228;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/110/St+Go;0%;121955;PC diesel Euro-6ab;diesel;<1,4L;PC diesel Euro-6ab;94579.64063;0.114155054;17.93211174;NA;NA;0.025628885;NA;NA;17.92020035;NA;NA;0.018355489;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;111910;PC petrol Euro-1;petrol (4S);>=2L;PC petrol Euro-1;210318.5938;0.001219307;132.6130981;NA;NA;0.094115965;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;111920;PC petrol Euro-2;petrol (4S);>=2L;PC petrol Euro-2;196643.7813;0.008536982;132.6145325;NA;NA;0.039728053;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;111930;PC petrol Euro-3;petrol (4S);>=2L;PC petrol Euro-3;175838.9844;0.019227868;132.6131287;NA;NA;0.029859275;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;111940;PC petrol Euro-4;petrol (4S);>=2L;PC petrol Euro-4;145779.25;0.031943236;132.6222839;NA;NA;0.022612464;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;111950;PC petrol Euro-5;petrol (4S);>=2L;PC petrol Euro-5;106131.7969;0.058916871;132.6201172;NA;NA;0.018465869;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;111961;PC petrol Euro-6ab;petrol (4S);>=2L;PC petrol Euro-6ab;66197.00781;0.082369171;132.6243744;NA;NA;0.010668672;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;111965;PC petrol Euro-6c;petrol (4S);>=2L;PC petrol Euro-6c;43431.35938;0.043270264;132.625824;NA;NA;0.003365958;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;111968;PC petrol Euro-6d;petrol (4S);>=2L;PC petrol Euro-6d;19861.0625;0.064392313;132.6286469;NA;NA;0.010227677;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;121910;PC diesel Euro-1;diesel;<1,4L;PC diesel Euro-1;377537.25;0.001675499;132.5928802;NA;NA;0.034229327;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;121921;PC diesel Euro-2 (DPF);diesel;<1,4L;PC diesel Euro-2 (DPF);336490.3125;0.006963221;132.6151733;NA;NA;0.016903264;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;121931;PC diesel Euro-3 (DPF);diesel;<1,4L;PC diesel Euro-3 (DPF);284639.1563;0.041854195;132.6197357;NA;NA;0.01668492;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;121940;PC diesel Euro-4;diesel;<1,4L;PC diesel Euro-4;222993.3906;1.82862e-09;132.6276093;NA;NA;0.00708052;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;121950;PC diesel Euro-5;diesel;<1,4L;PC diesel Euro-5;159892.3125;0.193180934;132.6284637;NA;NA;0.003716008;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;121965;PC diesel Euro-6c;diesel;<1,4L;PC diesel Euro-6c;57040.42969;0.048191596;132.6311798;NA;NA;0.012226636;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/Freeflow;0%;121955;PC diesel Euro-6ab;diesel;<1,4L;PC diesel Euro-6ab;94579.64063;0.114155054;132.6309357;NA;NA;0.017531311;NA;NA;132.6266937;NA;NA;0.010810863;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;111910;PC petrol Euro-1;petrol (4S);>=2L;PC petrol Euro-1;210318.5938;0.001219307;17.92687798;NA;NA;0.399112225;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;111920;PC petrol Euro-2;petrol (4S);>=2L;PC petrol Euro-2;196643.7813;0.008536982;17.92687798;NA;NA;0.144230321;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
2021ParcAuto_LCA[4.1];pass. car;2021;REF F HB41;HC;MW;RUR/MW/130/St+Go;0%;111930;PC petrol Euro-3;petrol (4S);>=2L;PC petrol Euro-3;175838.9844;0.019227868;17.92687798;NA;NA;0.024416493;NA;NA;17.92037201;NA;NA;0.018351967;NA;NA;Ø/France - Avg;NA;NA;NA;NA;NA;NA
